id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,location,population,"time_to_arrest,hours",severity_score,day_or_night
13777857,JJ183372,2025-03-14 23:00:00,045XX S TALMAN AVE,460,BATTERY,SIMPLE,APARTMENT,False,False,922,9,12,58,08B,1159458.0,1874560.0,2025,2025-03-22 15:41:01,41.811510619,-87.690637223,"
,  
(41.811510619, -87.690637223)",160000,,10.0,night
13775642,JJ181895,2025-03-14 22:52:00,026XX W 23RD ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,RESIDENCE,False,False,1034,10,25,30,15,1159218.0,1888635.0,2025,2025-03-22 15:41:01,41.850138986,-87.691131592,"
,  
(41.850138986, -87.691131592)",290000,,0.0,night
13775608,JJ181804,2025-03-14 22:50:00,072XX S YATES BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,True,False,334,3,7,43,14,1193465.0,1857322.0,2025,2025-03-22 15:41:01,41.763442831,-87.56646696,"
,  
(41.763442831, -87.56646696)",110000,184.8502777777778,6.0,night
13776153,JJ182556,2025-03-14 22:45:00,003XX N GREEN ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1214,12,27,28,08B,1170677.0,1902199.0,2025,2025-03-22 15:41:01,41.887116764,-87.64867829,"
,  
(41.887116764, -87.64867829)",310000,,10.0,night
13775562,JJ181776,2025-03-14 22:45:00,045XX S TALMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,922,9,12,58,14,1159458.0,1874560.0,2025,2025-03-22 15:41:01,41.811510619,-87.690637223,"
,  
(41.811510619, -87.690637223)",160000,,6.0,night
13775601,JJ181802,2025-03-14 22:45:00,008XX W 79TH ST,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,STREET,True,False,621,6,17,71,26,1171915.0,1852467.0,2025,2025-03-22 15:41:01,41.750620153,-87.645593785,"
,  
(41.750620153, -87.645593785)",210000,184.9336111111111,0.0,night
13775627,JJ181782,2025-03-14 22:42:00,015XX W 51ST ST,560,ASSAULT,SIMPLE,STREET,False,True,934,9,16,61,08A,1166719.0,1870905.0,2025,2025-03-22 15:41:01,41.801328785,-87.664108607,"
,  
(41.801328785, -87.664108607)",200000,,10.0,night
13775614,JJ181778,2025-03-14 22:34:00,052XX S MAPLEWOOD AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,False,True,923,9,14,63,08B,1160260.0,1869796.0,2025,2025-03-22 15:41:01,41.7984211,-87.687826752,"
,  
(41.7984211, -87.687826752)",180000,,10.0,night
13775685,JJ181779,2025-03-14 22:33:00,026XX W 21ST ST,041A,BATTERY,AGGRAVATED - HANDGUN,RESIDENCE - PORCH / HALLWAY,False,False,1023,10,25,30,04B,1159036.0,1889970.0,2025,2025-03-22 15:41:01,41.853806101,-87.691762956,"
,  
(41.853806101, -87.691762956)",290000,,10.0,night
13775612,JJ181806,2025-03-14 22:31:00,045XX S TALMAN AVE,460,BATTERY,SIMPLE,SIDEWALK,False,False,922,9,12,58,08B,1159458.0,1874560.0,2025,2025-03-22 15:41:01,41.811510619,-87.690637223,"
,  
(41.811510619, -87.690637223)",160000,,10.0,night
13775611,JJ181841,2025-03-14 22:30:00,021XX W GARFIELD BLVD,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,True,False,932,9,16,61,26,1163098.0,1868163.0,2025,2025-03-22 15:41:01,41.793880989,-87.677464892,"
,  
(41.793880989, -87.677464892)",200000,185.1836111111111,0.0,night
13775732,JJ181790,2025-03-14 22:30:00,063XX W DIVERSEY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2511,25,30,19,08B,1133823.0,1917937.0,2025,2025-03-22 15:41:01,41.931030944,-87.783647851,"
,  
(41.931030944, -87.783647851)",340000,,10.0,night
13775600,JJ181825,2025-03-14 22:30:00,024XX S HOMAN AVE,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,False,False,1024,10,22,30,26,1154088.0,1887525.0,2025,2025-03-22 15:41:01,41.847196748,-87.7099892,"
,  
(41.847196748, -87.7099892)",260000,,0.0,night
13775596,JJ181781,2025-03-14 22:29:00,037XX W DIVERSEY AVE,560,ASSAULT,SIMPLE,APARTMENT,True,True,2523,25,35,21,08A,1150770.0,1918354.0,2025,2025-03-22 15:41:01,41.931860193,-87.721359411,"
,  
(41.931860193, -87.721359411)",390000,185.20027777777779,10.0,night
13775566,JJ181769,2025-03-14 22:22:00,061XX S NORMAL BLVD,430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,RESIDENCE,False,True,711,7,20,68,04B,1174010.0,1864338.0,2025,2025-03-22 15:41:01,41.783149362,-87.637564855,"
,  
(41.783149362, -87.637564855)",240000,,10.0,night
13775785,JJ181821,2025-03-14 22:20:00,009XX E 82ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,True,631,6,8,44,14,1183850.0,1850820.0,2025,2025-03-22 15:41:01,41.7458305,-87.601909996,"
,  
(41.7458305, -87.601909996)",120000,,6.0,night
13782110,JJ189674,2025-03-14 22:20:00,056XX N KENMORE AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,2022,20,48,77,5,,,2025,2025-03-22 15:41:01,,,,520000,,5.0,night
13775625,JJ181792,2025-03-14 22:17:00,0000X S PARKSIDE AVE,460,BATTERY,SIMPLE,APARTMENT,True,False,1513,15,29,25,08B,1138618.0,1899343.0,2025,2025-03-22 15:41:01,41.879921086,-87.76647843,"
,  
(41.879921086, -87.76647843)",330000,185.40027777777777,10.0,night
13775748,JJ181793,2025-03-14 22:15:00,024XX W MONTROSE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,1911,19,47,5,14,1158860.0,1929140.0,2025,2025-03-22 15:41:01,41.961295335,-87.691332906,"
,  
(41.961295335, -87.691332906)",510000,,6.0,night
